district,governorate,a65,a65chronic,health_issue.chronic,a65andorchronic,incamp_IDP_total
Al-Amadiya,Duhok,191,122,348,418,3203
Al-Falluja,Al-Anbar,96,22,86,160,6826
Al-Hamdaniya,Ninewa,583,294,2210,2499,31330
Al-Hindiya,Kerbala,7,7,40,40,645
Al-Kadhmiyah,Baghdad,4,0,11,15,452
Al-Mosul,Ninewa,785,328,1901,2358,31975
Al-Risafa,Baghdad,10,0,2,12,345
Al-Shikhan,Ninewa,847,493,2316,2670,28116
Al-Sulaymaniyah,Al-Sulaymaniyah,107,68,632,671,11652
Aqra,Ninewa,20,14,83,89,950
Erbil,Erbil,80,76,672,677,6222
Kalar,Al-Sulaymaniyah,4,4,64,64,1220
Khanaqin,Diyala,75,58,355,371,4442
Kirkuk,Kirkuk,30,18,597,609,9878
Makhmour,Erbil,214,107,428,536,9168
Sumail,Duhok,2392,1416,6807,7783,83561
Tikrit,Salah Al-Din,18,10,95,103,764
Zakho,Duhok,1612,987,3941,4565,46354
