"","list_name","name","english","filter"
"19","district_mcna","al.falluja","Al-Falluja","al.anbar"
"20","district_mcna","al.kaim","Al-Kaim","al.anbar"
"21","district_mcna","al.ramadi","Al-Ramadi","al.anbar"
"22","district_mcna","al.rutba","Al-Rutba","al.anbar"
"23","district_mcna","ana","Ana","al.anbar"
"24","district_mcna","haditha","Haditha","al.anbar"
"25","district_mcna","heet","Heet","al.anbar"
"26","district_mcna","abu.al.khaseeb","Abu Al-Khaseeb","al.basrah"
"27","district_mcna","al.basrah","Al-Basrah","al.basrah"
"28","district_mcna","al.faw","Al-Faw","al.basrah"
"29","district_mcna","al.midaina","Al-Midaina","al.basrah"
"30","district_mcna","al.qurna","Al-Qurna","al.basrah"
"31","district_mcna","al.zubair","Al-Zubair","al.basrah"
"32","district_mcna","shat.al.arab","Shat Al-Arab","al.basrah"
"33","district_mcna","al.khidhir","Al-Khidhir","al.muthanna"
"34","district_mcna","al.rumaitha","Al-Rumaitha","al.muthanna"
"35","district_mcna","al.salman","Al-Salman","al.muthanna"
"36","district_mcna","al.samawa","Al-Samawa","al.muthanna"
"37","district_mcna","al.kufa","Al-Kufa","al.najaf"
"38","district_mcna","al.manathera","Al-Manathera","al.najaf"
"39","district_mcna","al.najaf","Al-Najaf","al.najaf"
"40","district_mcna","afaq","Afaq","al.qadissiya"
"41","district_mcna","al.diwaniya","Al-Diwaniya","al.qadissiya"
"42","district_mcna","al.hamza","Al-Hamza","al.qadissiya"
"43","district_mcna","al.shamiya","Al-Shamiya","al.qadissiya"
"44","district_mcna","al.sulaymaniyah","Al-Sulaymaniyah","al.sulaymaniyah"
"45","district_mcna","chamchamal","Chamchamal","al.sulaymaniyah"
"46","district_mcna","derbendikhan","Derbendikhan","al.sulaymaniyah"
"47","district_mcna","dokan","Dokan","al.sulaymaniyah"
"48","district_mcna","halabcha","Halabcha","al.sulaymaniyah"
"49","district_mcna","kalar","Kalar","al.sulaymaniyah"
"50","district_mcna","panjwin","Panjwin","al.sulaymaniyah"
"51","district_mcna","pshdar","Pshdar","al.sulaymaniyah"
"52","district_mcna","rania","Rania","al.sulaymaniyah"
"53","district_mcna","sharbazher","Sharbazher","al.sulaymaniyah"
"54","district_mcna","al.hashimiya","Al-Hashimiya","babil"
"55","district_mcna","al.hilla","Al-Hilla","babil"
"56","district_mcna","al.mahaweel","Al-Mahaweel","babil"
"57","district_mcna","al.mussyab","Al-Mussyab","babil"
"58","district_mcna","al.adhamiya","Al-Adhamiya","baghdad"
"59","district_mcna","al.kadhmiyah","Al-Kadhmiyah","baghdad"
"60","district_mcna","al.karkh","Al-Karkh","baghdad"
"61","district_mcna","al.mada.in","Al-Mada'in","baghdad"
"62","district_mcna","al.mahmoudiya","Al-Mahmoudiya","baghdad"
"63","district_mcna","al.risafa","Al-Risafa","baghdad"
"64","district_mcna","al.thawra","Al-Thawra","baghdad"
"65","district_mcna","al.khalis","Al-Khalis","diyala"
"66","district_mcna","al.muqdadiya","Al-Muqdadiya","diyala"
"67","district_mcna","baladruz","Baladruz","diyala"
"68","district_mcna","baquba","Baquba","diyala"
"69","district_mcna","khanaqin","Khanaqin","diyala"
"70","district_mcna","kifri","Kifri","diyala"
"71","district_mcna","al.amadiya","Al-Amadiya","duhok"
"72","district_mcna","duhok","Duhok","duhok"
"73","district_mcna","sumail","Sumail","duhok"
"74","district_mcna","zakho","Zakho","duhok"
"75","district_mcna","al.zibar","Al-Zibar","erbil"
"76","district_mcna","erbil","Erbil","erbil"
"77","district_mcna","koysinjaq","Koysinjaq","erbil"
"78","district_mcna","makhmour","Makhmour","erbil"
"79","district_mcna","rawanduz","Rawanduz","erbil"
"80","district_mcna","shaqlawa","Shaqlawa","erbil"
"81","district_mcna","ain.al.tamur","Ain Al-Tamur","kerbala"
"82","district_mcna","al.hindiya","Al-Hindiya","kerbala"
"83","district_mcna","kerbela","Kerbela","kerbala"
"84","district_mcna","al.hawiga","Al-Hawiga","kirkuk"
"85","district_mcna","daquq","Daquq","kirkuk"
"86","district_mcna","dibis","Dibis","kirkuk"
"87","district_mcna","kirkuk","Kirkuk","kirkuk"
"88","district_mcna","al.amara","Al-Amara","maysan"
"89","district_mcna","ali.al.gharbi","Ali Al-Gharbi","maysan"
"90","district_mcna","al.kahla","Al-Kahla","maysan"
"91","district_mcna","al.maimouna","Al-Maimouna","maysan"
"92","district_mcna","al.mejar.al.kabir","Al-Mejar Al-Kabir","maysan"
"93","district_mcna","qalat.saleh","Qalat Saleh","maysan"
"94","district_mcna","al.baaj","Al-Baaj","ninewa"
"95","district_mcna","al.hamdaniya","Al-Hamdaniya","ninewa"
"96","district_mcna","al.hatra","Al-Hatra","ninewa"
"97","district_mcna","al.mosul","Al-Mosul","ninewa"
"98","district_mcna","al.shikhan","Al-Shikhan","ninewa"
"99","district_mcna","aqra","Aqra","ninewa"
"100","district_mcna","sinjar","Sinjar","ninewa"
"101","district_mcna","telafar","Telafar","ninewa"
"102","district_mcna","tilkaef","Tilkaef","ninewa"
"103","district_mcna","al.daur","Al-Daur","salah.al.din"
"104","district_mcna","al.shirqat","Al-Shirqat","salah.al.din"
"105","district_mcna","balad","Balad","salah.al.din"
"106","district_mcna","beygee","Beygee","salah.al.din"
"107","district_mcna","samarra","Samarra","salah.al.din"
"108","district_mcna","tikrit","Tikrit","salah.al.din"
"109","district_mcna","tooz.khurmato","Tooz Khurmato","salah.al.din"
"110","district_mcna","al.chibayish","Al-Chibayish","thi.qar"
"111","district_mcna","al.nasiriya","Al-Nasiriya","thi.qar"
"112","district_mcna","al.rifai","Al-Rifai","thi.qar"
"113","district_mcna","al.shatra","Al-Shatra","thi.qar"
"114","district_mcna","suq.al.shoyokh","Suq Al-Shoyokh","thi.qar"
"115","district_mcna","al.hai","Al-Hai","wassit"
"116","district_mcna","al.kut","Al-Kut","wassit"
"117","district_mcna","al.namaniya","Al-Namaniya","wassit"
"118","district_mcna","al.suwaira","Al-Suwaira","wassit"
"119","district_mcna","badra","Badra","wassit"
