Name_mcna,Name_iom
Al-Adhamiya,Adhamia
Al-Amara,Amara
Al-Baaj,Al-Ba'aj
Al-Diwaniya,Diwaniya
Al-Falluja,Falluja
Al-Hatra,Hatra
Al-Hilla,Hilla
Al-Kadhmiyah,Kadhimia
Al-Karkh,Karkh
Al-Kufa,Kufa
Al-Kut,Kut
Al-Mahmoudiya,Mahmoudiya
Al-Mosul,Mosul
Al-Mussyab,Al-Musayab
Al-Najaf,Najaf
Al-Nasiriya,Nassriya
Al-Ramadi,Ramadi
Al-Rifai,Al-Rifa'i
Al-Sulaymaniyah,Sulaymaniya
Al-Thawra,Thawra2
Al-Zubair,Al-Zubair
Aqra,Akre
Baquba,Ba'quba
Derbendikhan,Darbandikhan
Dibis,Dabes
Duhok,Dahuk
Halabcha,Halabja
Koysinjaq,Koisnjaq
Makhmour,Makhmur
Panjwin,Penjwin
Qalat Saleh,Qal'at Saleh
Shat Al-Arab,Shatt Al-Arab
Sumail,Sumel
Tilkaef,Tilkaif
Tooz Khurmato,Tuz Khurmatu
Al-Kaim,Al-Ka'im
Al-Basrah,Basrah
Al-Risafa,Al Resafa
Beygee,Baiji
Al-Kaim,Al-Ka'im
Al-Amadiya,Amedi
Kerbela,Kerbala
