"","district","governorate","a65","a65chronic","health_issue.chronic","a65andorchronic"
"1","Al-Baaj","Ninewa",481,361,1683,1803
"2","Al-Falluja","Al-Anbar",0,0,0,0
"3","Al-Hamdaniya","Ninewa",4662,3774,18425,19313
"4","Al-Hatra","Ninewa",345,230,2993,3109
"5","Al-Hawiga","Kirkuk",4168,2293,18966,20841
"6","Al-Kadhmiyah","Baghdad",37,0,37,74
"7","Al-Kaim","Al-Anbar",2554,1192,5449,6811
"8","Al-Khalis","Diyala",0,0,0,0
"9","Al-Mahmoudiya","Baghdad",933,746,3730,3917
"10","Al-Mosul","Ninewa",11004,5502,77028,82530
"11","Al-Muqdadiya","Diyala",198,198,2576,2576
"12","Al-Ramadi","Al-Anbar",2197,0,4394,6592
"13","Al-Rutba","Al-Anbar",642,385,3252,3508
"14","Al-Shikhan","Ninewa",48,26,173,195
"15","Al-Shirqat","Salah Al-Din",1653,1033,15291,15911
"16","Ana","Al-Anbar",342,244,1878,1976
"17","Balad","Salah Al-Din",1122,1122,6411,6411
"18","Beygee","Salah Al-Din",3288,2631,9865,10523
"19","Daquq","Kirkuk",282,239,1433,1476
"20","Dibis","Kirkuk",152,152,986,986
"21","Haditha","Al-Anbar",436,290,1887,2033
"22","Heet","Al-Anbar",3116,0,2423,5539
"23","Khanaqin","Diyala",2271,1817,7496,7950
"24","Kirkuk","Kirkuk",6677,4124,19440,21993
"25","Makhmour","Erbil",1399,1000,4598,4998
"26","Sinjar","Ninewa",1910,1092,6141,6959
"27","Telafar","Ninewa",7750,2906,27610,32454
"28","Tikrit","Salah Al-Din",4698,2967,17554,19285
"29","Tilkaef","Ninewa",3201,2401,13490,14290
"30","Tooz Khurmato","Salah Al-Din",2622,1656,7315,8281
